GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.test,AppTest,0,16,0,0,0,5,0,2,0,2
JaCoCo Coverage Report,com.test,AppTest2,0,16,0,0,0,5,0,2,0,2
JaCoCo Coverage Report,com.philips,Standardclass,0,7,0,0,0,3,0,3,0,3
